Frame,Loss
1,0.09218902885913849
2,0.09249695390462875
3,0.09290431439876556
4,0.0933379977941513
5,0.09376537054777145
6,0.09417331218719482
7,0.09456034004688263
8,0.09492136538028717
9,0.0952550619840622
10,0.0955624133348465
11,0.09584570676088333
12,0.09610507637262344
13,0.09634245932102203
14,0.09655790776014328
15,0.09675325453281403
16,0.09693000465631485
17,0.09709011763334274
18,0.09723588824272156
19,0.09736843407154083
20,0.09748852252960205
21,0.0975969210267067
22,0.09769441932439804
23,0.09778263419866562
24,0.09786249697208405
25,0.09793433547019958
26,0.09799906611442566
27,0.09805718064308167
28,0.09810925275087357
29,0.09815604984760284
30,0.0981980711221695
31,0.09823566675186157
32,0.09826944768428802
33,0.09829964488744736
34,0.098326675593853
35,0.09835081547498703
36,0.09837232530117035
37,0.09839150309562683
38,0.09840855747461319
39,0.09842372685670853
40,0.09843716025352478
41,0.09844910353422165
42,0.09845966100692749
43,0.09846895188093185
44,0.09847704321146011
45,0.09848416596651077
46,0.09849036484956741
47,0.09849575161933899
48,0.09850038588047028
49,0.09850434958934784
50,0.09850773960351944
51,0.09851055592298508
52,0.09851284325122833
53,0.09851472824811935
54,0.09851622581481934
55,0.09851733595132828
56,0.09851811826229095
57,0.09851859509944916
58,0.09851879626512527
59,0.09851878136396408
60,0.09851855784654617
61,0.09851813316345215
62,0.09851755201816559
63,0.09851676225662231
64,0.0985158309340477
65,0.09851479530334473
66,0.0985136404633522
67,0.09851238876581192
68,0.09851103276014328
69,0.09850962460041046
70,0.09850811213254929
71,0.09850653260946274
72,0.09850487858057022
73,0.09850318729877472
74,0.09850143641233444
75,0.09849965572357178
76,0.09849783033132553
77,0.0984959751367569
78,0.09849407523870468
79,0.09849217534065247
80,0.09849023073911667
81,0.09848826378583908
82,0.0984862744808197
83,0.09848427027463913
84,0.09848224371671677
85,0.0984802097082138
86,0.09847815334796906
87,0.0984760969877243
88,0.09847402572631836
89,0.09847195446491241
90,0.09846985340118408
91,0.09846775978803635
92,0.09846565872430801
93,0.09846355766057968
94,0.09846145659685135
95,0.09845935553312302
96,0.0984572246670723
97,0.09845510125160217
98,0.09845297783613205
99,0.09845086187124252
100,0.0984487235546112
101,0.09844659268856049
